GeoType,GEOID,GeoName,TotalPop,discuss,CO2limits,trustclimsciSST,regulate,supportRPS,fundrenewables,mediaweekly,happening,human,consensus,worried,personal,harmUS,devharm,futuregen,harmplants,timing,StateDiff,stateName
County,6019,Fresno County,562708,38.439,70.1,66.399,72.131,65.596,81.605,,71.088,54.617,46.499,64.3,46.668,62.223,65.95,72.362,71.724,55.665,0,California
County,6021,Glenn County,17796,34.414,63.898,64.289,70.485,62.057,78.865,,67.496,50.575,44.935,56.081,41.271,57.382,61.412,68.323,67.883,50.132,0,California
County,6023,Humboldt County,90886,39.592,73.638,74.176,77.052,70.288,84.618,,76.644,58.574,57.789,63.382,41.237,61.509,67.183,74.274,74.515,54.971,0,California
County,6025,Imperial County,105988,34.047,72.461,70.178,75.344,67.752,80.949,,74.6,60.201,50.345,69.111,51.495,66.383,69.857,75.079,74.404,58.744,0,California
County,6027,Inyo County,13260,35.351,63.429,64.938,70.644,61.091,80.545,,68.535,49.865,45.582,57.047,40.247,57.52,61.996,68.979,68.838,50.564,0,California
County,6029,Kern County,506477,31.601,65.856,65.937,71.027,62.381,78.761,,68.914,51.336,45.498,57.539,43.274,58.225,61.977,64.853,63.505,50.468,0,California
County,6031,Kings County,91918,33.716,66.438,66.236,71.435,63.642,79.53,,68.247,52.402,44.971,58.808,44.595,59.608,63.845,68.966,68.666,51.835,0,California
County,6033,Lake County,45971,37.362,70.551,69.358,75.973,66.854,83.269,,72.47,54.94,51.13,61.21,41.386,59.817,64.944,72.949,72.902,54.012,0,California
County,6035,Lassen County,24264,33.185,61.129,63.76,69.687,60.993,78.845,,64.986,48.353,44.127,51.649,37.859,53.816,58.352,65.441,64.88,46.319,0,California
County,6037,Los Angeles County,6557746,38.29,77.323,73.222,75.964,68.587,80.627,,74.227,61.09,57.251,67.845,51.817,67.038,70.879,75.619,74.877,57.823,0,California
County,6039,Madera County,93891,32.55,65.483,64.919,70.637,61.897,78.037,,69.158,52.161,44.399,60.024,44.359,59.814,63.368,69.338,69.125,52.857,0,California
County,6041,Marin County,188590,47.693,77.421,76.885,79.556,73.296,86.484,,80.013,62.459,63.616,68.306,45.418,66.238,72.765,78.998,78.686,59.19,0,California
County,6043,Mariposa County,13640,40.404,67.575,67.469,72.763,63.842,82.812,,71.099,51.931,52.338,57.887,40.554,59.027,64.129,71.105,70.864,50.967,0,California
County,6045,Mendocino County,61116,39.027,74.469,73.01,77.824,69.748,84.902,,76.51,58.767,55.906,64.835,43.635,62.806,68.353,75.985,75.292,56.934,0,California
County,6047,Merced County,150292,35.346,69.434,66.474,73.876,65.035,81.106,,72.416,55.492,46.203,63.431,46.719,62.391,65.982,72.2,72.229,55.558,0,California
County,6049,Modoc County,6775,36.88,60.431,61.131,67.82,58.264,79.682,,66.808,48.212,45.674,53.42,38.81,55.948,60.119,67.804,67.496,48.445,0,California
County,6051,Mono County,9680,41.755,70.098,67.771,72.603,64.908,82.88,,74.098,55.398,54.452,62.973,43.848,62.417,67.506,74.193,73.948,55.159,0,California
County,6053,Monterey County,265834,39.473,77.348,73.745,76.841,71.572,82.45,,77.094,61.39,56.706,69.062,49.62,66.931,71.603,76.83,77.032,59.616,0,California
County,6055,Napa County,95540,41.197,75.136,75.714,78.631,72.626,84.906,,75.368,60.458,57.728,64.974,44.179,63.25,69.046,75.461,75.119,56.699,0,California
County,6057,Nevada County,73611,39.769,67.711,70.097,74.758,66.704,83.12,,70.193,53.417,51.548,57.476,37.817,57.009,63.292,71.005,70.553,50.525,0,California
County,6059,Orange County,2043735,35.792,67.828,71.158,74.79,65.39,81.646,,72.33,56.453,51.825,60.217,43.948,60.436,65.774,74.098,74.173,53.235,0,California
County,6061,Placer County,247799,36.587,64.668,68.695,72.634,64.702,81.743,,69.399,51.377,50.092,55.156,37.628,55.159,61.43,69.201,68.567,47.616,0,California
County,6063,Plumas County,14643,36.478,65.087,68.013,72.762,64.379,81.847,,68.455,51.039,49.071,55.248,37.623,55.887,61.287,68.87,68.514,48.626,0,California
County,6065,Riverside County,1410823,37.823,70.888,68.964,75.169,69.977,82.432,,72.444,56.926,51.392,62.54,44.761,61.946,66.629,73.618,73.384,53.019,0,California
County,6067,Sacramento County,945773,35.626,73.661,73.653,77.123,70.285,82.306,,76.565,55.639,58.107,62.892,44.519,62.12,67.715,75.103,76.378,54.695,0,California
County,6069,San Benito County,35636,36.163,71.128,68.611,74.686,65.738,81.455,,73.765,57.463,50.104,65.037,46.589,63.128,67.117,73.98,73.955,56.779,0,California
County,6071,San Bernardino County,1256972,34.276,69.908,69.439,78.444,64.83,82.166,,74.291,55.901,48.083,64.063,46.701,62.535,67.142,73.08,72.785,57.18,0,California
County,6073,San Diego County,2088134,37.421,70.038,73.09,75.396,68.278,82.464,,72.643,54.002,52.345,62.612,42.551,61.152,67.37,72.32,72.901,53.852,0,California
County,6075,San Francisco County,647337,49.841,79.657,78.69,80.491,73.561,87.45,,83.329,65.941,68.142,72.334,49.725,69.689,75.633,80.935,81.185,62.643,0,California
County,6077,San Joaquin County,428299,35.63,70.602,69.631,74.64,66.858,82.03,,75.439,58.111,53.803,64.499,46.365,63.114,67.425,73.035,74.612,56.459,0,California
County,6079,San Luis Obispo County,181329,36.872,69.031,71.342,74.427,66.943,82.434,,74.286,55.455,53.87,59.606,40.389,59.38,64.508,73.287,72.366,51.641,0,California
County,6081,San Mateo County,521984,44.532,77.563,78.016,80.973,73.437,86.027,,80.435,64.993,62.078,70.429,47.577,67.742,73.344,78.27,77.098,61.353,0,California
County,6083,Santa Barbara County,265963,40.769,74.628,72.085,75.203,69.151,82.521,,75.09,59.739,56.048,65.85,47.189,65.054,70.539,74.665,74.985,57.947,0,California
County,6085,Santa Clara County,1244800,42.001,75.513,76.552,77.034,72.528,86.398,,79.214,63.727,60.127,68.343,48.25,66.666,72.796,78.643,77.168,59.623,0,California
County,6087,Santa Cruz County,172276,44.981,77.982,76.824,79.992,73.649,86.043,,80.063,65.267,63.334,68.389,46.306,65.826,72.455,78.884,78.317,59.127,0,California
County,6089,Shasta County,123699,31.789,60.27,65.234,71.179,61.684,80.485,,64.792,47.798,42.432,50.622,34.918,52.13,57.069,66.393,66.678,46.808,0,California
